Seasons,Fouls,Total cards,Total Yellow,Total Red
2000/01,10231,1257,1194,63
2001/02,10206,1237,1165,72
2002/03,10173,1217,1142,75
2003/04,10137,1040,988,52
2004/05,10113,944,894,50
2005/06,10072,1249,1173,76
2006/07,10048,1278,1225,53
2007/08,10032,1277,1216,61
2008/09,10001,1261,1198,63
2009/10,9974,1305,1237,68
2010/11,9954,1299,1236,63
2011/12,9909,1242,1178,64
2012/13,9879,1238,1186,52
2013/14,9862,1265,1212,53
2014/15,9835,1435,1364,71
2015/16,9803,1238,1179,59
2016/17,9765,1421,1380,41
2017/18,9731,1196,1157,39
2018/19,9693,1267,1220,47
2019/20,9663,1319,1274,45
2020/21,9636,1137,1091,46
2021/22,9613,1334,1291,43
2022/23,9593,1391,1363,28
2023/24,9571,1643,1586,57
2024/25,9552,1480,1435,45
