HomeTeam,HomeYellowCards,HomeRedCards,TOTAL CARDS
Charlton,1,0,1
Chelsea,1,0,1
Coventry,5,1,6
Derby,1,0,1
Leeds,1,0,1
Leicester,2,0,2
Liverpool,1,0,1
Sunderland,3,0,3
Tottenham,0,0,0
Man United,0,0,0
Arsenal,2,1,3
Bradford,0,0,0
Ipswich,1,0,1
Middlesbrough,2,0,2
Everton,2,0,2
Man City,3,0,3
Newcastle,0,1,1
Southampton,5,0,5
West Ham,3,1,4
Arsenal,0,0,0
Bradford,1,0,1
Everton,2,0,2
Ipswich,1,0,1
Man City,2,0,2
Middlesbrough,2,0,2
Newcastle,0,0,0
Southampton,0,0,0
West Ham,1,0,1
Aston Villa,0,0,0
Leeds,2,0,2
Man United,0,0,0
Sunderland,2,0,2
Tottenham,1,0,1
Charlton,3,1,4
Chelsea,3,0,3
Coventry,1,0,1
Derby,3,0,3
Leicester,1,0,1
Liverpool,0,0,0
Bradford,0,0,0
Coventry,2,0,2
Ipswich,1,0,1
Leicester,0,0,0
Liverpool,3,0,3
Man United,1,0,1
Middlesbrough,3,0,3
Newcastle,0,0,0
Derby,3,0,3
Tottenham,1,0,1
Arsenal,1,0,1
Aston Villa,0,0,0
Charlton,0,0,0
Everton,4,0,4
Leeds,1,0,1
Southampton,0,0,0
Sunderland,2,0,2
Chelsea,3,0,3
Man City,2,0,2
West Ham,0,0,0
Bradford,3,0,3
Coventry,0,0,0
Derby,2,1,3
Ipswich,1,0,1
Liverpool,2,0,2
Man United,3,0,3
Middlesbrough,3,0,3
Newcastle,1,0,1
Tottenham,0,0,0
Leicester,3,0,3
Aston Villa,1,0,1
Charlton,1,0,1
Everton,1,0,1
Leeds,0,0,0
Man City,0,0,0
Southampton,2,0,2
West Ham,3,0,3
Arsenal,2,0,2
Chelsea,1,0,1
Sunderland,3,0,3
Arsenal,1,0,1
Coventry,0,1,1
Everton,1,0,1
Ipswich,0,0,0
Leeds,0,0,0
Leicester,0,0,0
Man City,0,0,0
Sunderland,0,1,1
Derby,1,0,1
Middlesbrough,2,0,2
Bradford,1,0,1
Charlton,2,0,2
Chelsea,0,0,0
Liverpool,1,0,1
Man United,0,0,0
Newcastle,1,0,1
Tottenham,1,0,1
West Ham,1,0,1
Aston Villa,1,0,1
Southampton,1,0,1
Arsenal,0,0,0
Aston Villa,3,0,3
Chelsea,3,0,3
Ipswich,0,0,0
Leicester,0,0,0
Man United,0,0,0
Sunderland,2,0,2
West Ham,3,0,3
Bradford,3,0,3
Liverpool,0,0,0
Charlton,0,0,0
Coventry,1,0,1
Leeds,1,0,1
Man City,1,0,1
Middlesbrough,1,1,2
Newcastle,1,0,1
Southampton,4,0,4
Tottenham,1,1,2
Everton,3,0,3
Derby,1,0,1
Arsenal,0,0,0
Aston Villa,0,0,0
Bradford,1,0,1
Ipswich,0,0,0
Leicester,1,0,1
Man United,0,0,0
Sunderland,1,0,1
West Ham,1,0,1
Chelsea,4,0,4
Liverpool,1,0,1
Charlton,2,0,2
Derby,3,0,3
Everton,3,0,3
Leeds,1,0,1
Man City,3,0,3
Middlesbrough,3,0,3
Newcastle,1,0,1
Southampton,0,0,0
Tottenham,1,0,1
Coventry,1,0,1
Charlton,0,0,0
Coventry,1,0,1
Derby,2,0,2
Everton,0,0,0
Man City,0,0,0
Middlesbrough,0,1,1
Southampton,1,0,1
Tottenham,1,0,1
Leeds,1,0,1
Newcastle,3,0,3
Arsenal,0,0,0
Aston Villa,2,0,2
Bradford,3,0,3
Ipswich,1,0,1
Leicester,1,0,1
Liverpool,1,0,1
Man United,2,0,2
West Ham,1,0,1
Chelsea,2,0,2
Sunderland,0,0,0
Arsenal,0,0,0
Bradford,2,0,2
Charlton,0,0,0
Chelsea,0,0,0
Man City,0,0,0
Southampton,3,1,4
Sunderland,1,0,1
West Ham,1,0,1
Coventry,0,0,0
Liverpool,1,0,1
Aston Villa,2,1,3
Derby,1,0,1
Everton,1,0,1
Ipswich,1,0,1
Leeds,3,0,3
Leicester,1,0,1
Middlesbrough,0,0,0
Newcastle,0,0,0
Man United,1,1,2
Tottenham,2,0,2
Coventry,1,0,1
Charlton,1,0,1
Chelsea,0,0,0
Derby,1,0,1
Leeds,1,0,1
Leicester,1,0,1
Liverpool,2,0,2
Man United,0,0,0
Sunderland,2,0,2
Tottenham,2,0,2
Arsenal,0,0,0
Aston Villa,1,0,1
Bradford,2,0,2
Everton,2,0,2
Ipswich,0,0,0
Man City,2,0,2
Middlesbrough,2,0,2
Newcastle,4,0,4
West Ham,1,0,1
Southampton,1,0,1
Arsenal,0,0,0
Ipswich,0,0,0
Man City,1,0,1
Middlesbrough,1,0,1
Newcastle,2,0,2
Southampton,0,0,0
Charlton,1,0,1
Chelsea,0,0,0
Coventry,1,0,1
Derby,2,0,2
Leeds,2,0,2
Leicester,0,0,0
Liverpool,0,0,0
Man United,1,0,1
Sunderland,1,0,1
Tottenham,0,1,1
Arsenal,1,0,1
Aston Villa,2,0,2
Bradford,1,0,1
Everton,1,0,1
Man City,5,0,5
Middlesbrough,0,0,0
Newcastle,0,0,0
Southampton,0,0,0
West Ham,4,0,4
Ipswich,1,0,1
Chelsea,3,0,3
Coventry,0,0,0
Derby,2,0,2
Leeds,2,0,2
Leicester,2,1,3
Liverpool,1,0,1
Man United,1,0,1
Tottenham,0,0,0
Sunderland,0,0,0
Charlton,0,0,0
Aston Villa,2,0,2
Arsenal,1,0,1
Charlton,2,0,2
Chelsea,1,0,1
Everton,1,0,1
Leeds,4,0,4
Man City,1,0,1
Southampton,0,0,0
Sunderland,2,2,4
West Ham,1,0,1
Bradford,2,0,2
Coventry,3,0,3
Derby,7,0,7
Ipswich,1,1,2
Leicester,0,0,0
Liverpool,0,0,0
Man United,0,0,0
Middlesbrough,0,1,1
Tottenham,2,0,2
Everton,2,0,2
Arsenal,2,0,2
Aston Villa,1,0,1
Chelsea,0,0,0
Everton,3,0,3
Leeds,2,0,2
Man City,1,0,1
Southampton,0,0,0
Sunderland,5,0,5
Charlton,2,0,2
West Ham,2,0,2
Bradford,1,0,1
Coventry,0,0,0
Derby,1,0,1
Ipswich,1,0,1
Leicester,0,0,0
Middlesbrough,1,0,1
Newcastle,1,0,1
Tottenham,2,0,2
Man United,0,0,0
Arsenal,2,0,2
Coventry,2,0,2
Derby,2,0,2
Everton,1,0,1
Leeds,3,0,3
Leicester,1,0,1
Man City,1,0,1
Middlesbrough,1,0,1
Ipswich,0,0,0
Sunderland,1,0,1
West Ham,2,0,2
Aston Villa,1,0,1
Bradford,2,0,2
Charlton,3,0,3
Chelsea,0,0,0
Man United,1,0,1
Newcastle,0,0,0
Southampton,1,0,1
Tottenham,0,0,0
West Ham,0,0,0
Aston Villa,2,0,2
Liverpool,2,0,2
Arsenal,0,0,0
Bradford,0,0,0
Chelsea,2,0,2
Coventry,0,1,1
Liverpool,1,1,2
Man City,6,1,7
Sunderland,2,0,2
West Ham,3,1,4
Charlton,2,0,2
Southampton,2,0,2
Aston Villa,2,0,2
Aston Villa,1,0,1
Derby,1,0,1
Leeds,0,0,0
Leicester,3,0,3
Everton,0,1,1
Middlesbrough,5,1,6
Ipswich,0,0,0
Man United,1,0,1
Tottenham,1,0,1
Man City,2,0,2
Bradford,1,0,1
Liverpool,3,1,4
Arsenal,1,0,1
Aston Villa,0,0,0
Chelsea,3,0,3
Ipswich,0,0,0
Leicester,2,0,2
Man United,1,0,1
Sunderland,1,0,1
West Ham,0,0,0
Coventry,3,0,3
Derby,0,0,0
Everton,4,1,5
Middlesbrough,0,0,0
Newcastle,0,0,0
Charlton,3,1,4
Tottenham,2,1,3
Arsenal,0,0,0
Aston Villa,1,0,1
Bradford,0,0,0
Chelsea,3,0,3
Ipswich,1,0,1
Leicester,3,0,3
Man United,0,1,1
Sunderland,5,0,5
West Ham,5,0,5
Liverpool,1,0,1
Coventry,3,0,3
Derby,3,0,3
Everton,1,0,1
Leeds,2,0,2
Man City,3,0,3
Middlesbrough,2,0,2
Newcastle,1,0,1
Southampton,2,0,2
Tottenham,1,0,1
Charlton,0,0,0
Bradford,0,0,0
Newcastle,2,0,2
Arsenal,4,0,4
Aston Villa,2,0,2
Bradford,4,0,4
Chelsea,1,0,1
Leicester,3,0,3
Liverpool,0,0,0
Man United,1,0,1
Sunderland,1,0,1
West Ham,2,0,2
Ipswich,0,0,0
Liverpool,1,0,1
Leeds,1,0,1
Southampton,1,0,1
Newcastle,1,0,1
Charlton,1,0,1
Coventry,1,0,1
Derby,1,0,1
Everton,5,0,5
Leeds,3,0,3
Man City,4,0,4
Middlesbrough,0,0,0
Newcastle,0,1,1
Southampton,1,0,1
Tottenham,0,0,0
Charlton,0,0,0
Derby,1,0,1
Leeds,1,0,1
Leicester,4,0,4
Liverpool,1,0,1
Middlesbrough,2,1,3
Sunderland,0,0,0
Tottenham,3,0,3
Chelsea,3,0,3
Man United,0,0,0
Everton,3,0,3
Arsenal,4,0,4
Bolton,1,0,1
Ipswich,0,0,0
Blackburn,2,1,3
Fulham,0,0,0
Arsenal,1,1,2
Blackburn,1,0,1
Everton,2,0,2
Fulham,2,0,2
Ipswich,2,0,2
Southampton,0,0,0
West Ham,3,0,3
Aston Villa,0,0,0
Newcastle,2,0,2
Bolton,2,0,2
Chelsea,1,1,2
Derby,5,0,5
Leeds,1,0,1
Leicester,3,1,4
Liverpool,3,1,4
Man United,0,0,0
Middlesbrough,1,1,2
Sunderland,2,0,2
Charlton,2,0,2
Tottenham,0,0,0
Bolton,1,0,1
Derby,5,0,5
Everton,0,0,0
Fulham,3,0,3
Middlesbrough,2,0,2
Newcastle,2,0,2
Aston Villa,0,0,0
Charlton,2,1,3
Ipswich,3,0,3
Tottenham,1,0,1
Leicester,0,0,0
Blackburn,0,0,0
Sunderland,1,0,1
Arsenal,1,0,1
Blackburn,1,0,1
Leicester,2,0,2
Liverpool,0,0,0
Man United,0,0,0
Sunderland,2,0,2
Chelsea,4,0,4
Leeds,1,0,1
West Ham,3,0,3
Southampton,1,1,2
Newcastle,2,0,2
Bolton,1,0,1
Charlton,1,1,2
Derby,3,0,3
Everton,0,0,0
Middlesbrough,0,0,0
Tottenham,3,0,3
Aston Villa,2,0,2
Fulham,1,0,1
Ipswich,0,0,0
Newcastle,1,0,1
Bolton,2,1,3
Charlton,2,0,2
Chelsea,0,0,0
Ipswich,0,0,0
Liverpool,3,0,3
Southampton,2,1,3
Sunderland,0,0,0
Aston Villa,1,0,1
Blackburn,1,0,1
Tottenham,0,0,0
Arsenal,1,0,1
Derby,3,0,3
Everton,0,0,0
Leicester,1,0,1
Man United,0,0,0
West Ham,0,0,0
Fulham,2,1,3
Leeds,2,0,2
Newcastle,2,0,2
Middlesbrough,1,1,2
Aston Villa,0,0,0
Southampton,2,0,2
West Ham,0,0,0
Aston Villa,2,0,2
Charlton,0,0,0
Everton,1,0,1
Fulham,0,0,0
Man United,3,0,3
Sunderland,3,0,3
Tottenham,0,0,0
Derby,1,0,1
Ipswich,2,0,2
Blackburn,6,0,6
Bolton,4,1,5
Leicester,1,0,1
Middlesbrough,0,0,0
Newcastle,0,0,0
Southampton,1,0,1
West Ham,1,0,1
Arsenal,3,0,3
Chelsea,0,0,0
Leeds,1,0,1
Liverpool,0,0,0
Aston Villa,1,0,1
Blackburn,2,0,2
Derby,0,0,0
Fulham,0,0,0
Man United,2,0,2
Tottenham,2,0,2
Everton,1,0,1
Ipswich,0,0,0
Sunderland,1,0,1
Charlton,1,0,1
Bolton,1,0,1
Chelsea,0,0,0
Leicester,2,0,2
